Timestamp(ns);Rotation_X(rad);Rotation_Y(rad);Rotation_Z(rad);Position_X(m);Position_Y(m);Position_Z(m);
3991949708550; -0.01; 0.07; -0.05; 0.01; -0.01; -0.01;
3991965782746; -0.01; 0.08; -0.05; 0.01; -0.01; -0.01;
3991999256435; -0.00; 0.09; -0.05; 0.01; -0.01; -0.01;
3992015771969; 0.00; 0.09; -0.05; 0.01; -0.00; -0.00;
3992032426490; 0.01; 0.09; -0.05; 0.01; -0.00; -0.00;
3992049078446; 0.01; 0.10; -0.05; 0.01; -0.00; -0.00;
3992065774022; 0.01; 0.10; -0.05; 0.01; -0.00; -0.00;
3992082364823; 0.01; 0.11; -0.04; 0.01; -0.00; -0.00;
3992115779496; 0.02; 0.11; -0.04; 0.01; 0.00; -0.00;
3992132380560; 0.03; 0.12; -0.04; 0.01; 0.00; -0.00;
3992149018831; 0.03; 0.12; -0.04; 0.01; 0.00; -0.00;
3992165836716; 0.04; 0.12; -0.03; 0.01; 0.01; 0.00;
3992182377481; 0.04; 0.12; -0.03; 0.01; 0.01; 0.00;
3992199028154; 0.05; 0.13; -0.03; 0.01; 0.01; 0.00;
3992232432563; 0.06; 0.13; -0.03; 0.01; 0.01; 0.00;
3992249041753; 0.06; 0.13; -0.03; 0.01; 0.01; 0.01;
3992265745882; 0.06; 0.12; -0.03; 0.01; 0.01; 0.01;
3992282426918; 0.07; 0.12; -0.02; 0.01; 0.01; 0.01;
3992299048510; 0.07; 0.12; -0.02; 0.01; 0.01; 0.01;
3992315623916; 0.07; 0.11; -0.02; 0.01; 0.01; 0.01;
3992332410582; 0.07; 0.11; -0.02; 0.01; 0.01; 0.01;
3992365655904; 0.07; 0.11; -0.02; 0.01; 0.01; 0.01;
3992382256969; 0.07; 0.12; -0.03; 0.01; 0.01; 0.01;
3992399160384; 0.07; 0.12; -0.03; 0.01; 0.01; 0.01;
3992415648976; 0.06; 0.12; -0.03; 0.01; 0.01; 0.01;
3992432233362; 0.06; 0.12; -0.03; 0.01; 0.01; 0.01;
3992449024305; 0.06; 0.12; -0.03; 0.01; 0.01; 0.01;
3992465652739; 0.06; 0.12; -0.03; 0.01; 0.01; 0.01;
3992498883522; 0.06; 0.12; -0.04; 0.01; 0.01; 0.00;
3992515682162; 0.06; 0.12; -0.04; 0.01; 0.01; 0.00;
3992532287503; 0.06; 0.12; -0.03; 0.01; 0.01; 0.00;
3992548945446; 0.06; 0.12; -0.03; 0.01; 0.01; 0.00;
3992565655134; 0.06; 0.12; -0.03; 0.01; 0.01; 0.00;
3992582251495; 0.06; 0.12; -0.03; 0.01; 0.01; 0.00;
3992598898746; 0.06; 0.12; -0.03; 0.01; 0.01; 0.00;
3992632295885; 0.06; 0.12; -0.03; 0.01; 0.01; 0.00;
3992648885831; 0.06; 0.11; -0.03; 0.01; 0.01; 0.00;
3992665506995; 0.06; 0.12; -0.02; 0.01; 0.01; 0.00;
3992682345835; 0.05; 0.12; -0.02; 0.01; 0.01; 0.00;
3992698889167; 0.05; 0.12; -0.02; 0.01; 0.01; 0.00;
3992715507765; 0.05; 0.12; -0.02; 0.01; 0.01; 0.00;
3992732277753; 0.05; 0.12; -0.03; 0.01; 0.01; 0.00;
3992765493995; 0.05; 0.12; -0.03; 0.01; 0.01; 0.00;
3992782116442; 0.05; 0.13; -0.03; 0.01; 0.01; 0.00;
3992798918931; 0.05; 0.13; -0.03; 0.01; 0.01; 0.00;
3992815570459; 0.05; 0.13; -0.03; 0.01; 0.01; 0.00;
3992832160832; 0.05; 0.13; -0.03; 0.01; 0.01; 0.00;
3992848909865; 0.05; 0.13; -0.03; 0.01; 0.01; 0.00;
3992865788476; 0.05; 0.12; -0.03; 0.01; 0.01; 0.00;
3992898747271; 0.05; 0.12; -0.03; 0.01; 0.01; 0.00;
3992915637429; 0.04; 0.12; -0.03; 0.01; 0.01; 0.00;
3992932156385; 0.04; 0.12; -0.03; 0.01; 0.01; 0.00;
3992948791234; 0.04; 0.12; -0.03; 0.01; 0.01; 0.00;
3992965508620; 0.04; 0.12; -0.03; 0.01; 0.01; 0.00;
3992982138765; 0.04; 0.12; -0.03; 0.01; 0.01; -0.00;
3993015408464; 0.04; 0.12; -0.03; 0.01; 0.01; -0.00;
3993032161773; 0.04; 0.12; -0.03; 0.01; 0.01; -0.00;
3993048774384; 0.04; 0.12; -0.03; 0.01; 0.00; -0.00;
3993065475520; 0.03; 0.12; -0.03; 0.01; 0.00; -0.00;
3993082078295; 0.03; 0.12; -0.03; 0.01; 0.00; -0.00;
3993098770022; 0.03; 0.12; -0.03; 0.01; 0.00; -0.00;
3993115507508; 0.03; 0.12; -0.03; 0.01; 0.00; -0.00;
3993148772503; 0.02; 0.11; -0.02; 0.01; 0.01; -0.00;
3993165420182; 0.02; 0.11; -0.02; 0.01; 0.01; -0.00;
3993182036214; 0.02; 0.11; -0.02; 0.01; 0.01; -0.00;
3993198798932; 0.02; 0.11; -0.02; 0.01; 0.01; -0.00;
3993215320025; 0.02; 0.11; -0.01; 0.01; 0.01; -0.00;
3993231988659; 0.02; 0.11; -0.01; 0.01; 0.01; -0.00;
3993248835197; 0.03; 0.11; -0.01; 0.01; 0.01; -0.00;
3993282038181; 0.03; 0.11; -0.01; 0.01; 0.01; -0.00;
3993298653359; 0.03; 0.11; -0.01; 0.01; 0.01; -0.00;
3993315387423; 0.03; 0.11; -0.01; 0.01; 0.01; -0.00;
3993332020990; 0.02; 0.11; -0.01; 0.01; 0.01; -0.00;
3993348625476; 0.01; 0.10; -0.00; 0.01; 0.01; -0.00;
3993365389476; 0.00; 0.10; 0.00; 0.01; 0.01; 0.00;
3993382053406; -0.01; 0.09; 0.01; 0.01; 0.01; 0.00;
3993415264516; -0.03; 0.06; 0.04; 0.01; 0.01; 0.00;
3993432115330; -0.03; 0.06; 0.04; 0.01; 0.01; 0.00;
3993448658662; -0.03; 0.06; 0.05; 0.01; 0.01; 0.00;
